en_tok,de_tok
i suggested postponing the meeting .,"ich schlug vor , die sitzung zu verschieben ."
can i help you find something ?,kann ich dir beim suchen behilflich sein ?
there ' s something i want you to do for me .,"ich möchte , daß ihr etwas für mich tut ."
i might go there tomorrow .,vielleicht gehe ich morgen mal dahin .
i would like you to sing a song .,"ich möchte , dass du ein lied singst ."
if only i had taken your advice .,wenn ich nur euren rat angenommen hätte !
i know tom could get mary to do that .,"ich weiß , daß tom maria dazu bewegen könnte ."
"stay with me , tom .","bleib bei mir , tom !"
i don ' t think i ' ll ever be happy here .,"ich werde hier , glaube ich , nie glücklich sein ."
can you keep a secret ?,könnt ihr ein geheimnis bewahren ?
don ' t throw rocks into the river .,keine steine in den fluss werfen !
do your gums bleed ?,haben sie zahnfleischbluten ?
i won ' t drink that .,das trinke ich nicht .
go away !,troll dich !
that actress is as beautiful as ever .,diese schauspielerin ist schön wie immer .
my birthday is today .,ich habe heute geburtstag .
that one over there ' s really cute .,die da drüben ist wirklich süß .
tom isn ' t the best .,tom ist nicht der beste .
i don ' t think he will come .,"ich glaube nicht , dass er kommt ."
i ' d have come if you ' d invited me .,"ich wäre gekommen , wenn du mich eingeladen hättest ."
that ' s why tom isn ' t here .,deshalb ist tom nicht hier .
he ' s at her side .,er ist an ihrer seite .
who ' ll take care of you ?,wer wird sich um sie kümmern ?
have you answered that letter yet ?,hast du den brief schon beantwortet ?
no one tried to intervene .,niemand versuchte einzuschreiten .
what do you hate ?,was hasst du ?
can i take your word for it ?,kann ich ihnen das glauben ?
i barely know tom .,ich kenne tom kaum .
which box did you put it in ?,in welchen karton haben sie es getan ?
this system has obvious defects .,dieses system hat offensichtliche makel .
that ' s someone else ' s problem .,das ist jemandes anderen problem .
i ' m happy with this .,ich bin glücklich damit .
my nephew is getting married tomorrow .,mein neffe heiratet morgen .
i ' m sure you ' ll be able to do that .,du kriegst das bestimmt hin .
i said i ' d get it .,"ich meinte , ich würde es schon verstehen ."
why don ' t you go play with tom ?,warum gehst du nicht hin und spielst mit tom ?
tom knows we ' re here .,"tom weiß , dass wir hier sind ."
the noise made the dog bark .,der lärm ließ den hund bellen .
wake me up early tomorrow morning .,wecke mich morgen früh zeitig .
that isn ' t the reason .,das ist nicht der grund .
that ' s so cool .,das ist so cool .
what time ' s your plane ?,wann geht ihr flug ?
tom is a professional killer .,tom ist ein auftragsmörder .
i want to go to the movies today .,ich will heute ins kino .
i just want to rest .,ich will mich einfach nur ausruhen .
i ' ll show you how it works .,"ich werde ihnen zeigen , wie das geht ."
tom worked like a maniac .,tom arbeitete wie ein besessener .
the chicken was wonderful .,das huhn war vorzüglich .
do you remember where you first met tom ?,"wissen sie noch , wo sie tom kennengelernt haben ?"
i ' m looking for my passport . have you seen it ?,ich suche nach meinem reisepass . hast du ihn gesehen ?
you can ' t play baseball here .,ihr könnt hier kein baseball spielen .
the kitten wants to sleep .,das kätzchen will schlafen .
i felt so guilty .,ich fühlte mich so schuldig .
why not see the doctor ?,warum gehst du nicht zur ärztin ?
does tom still owe you money ?,ist tom dir immer noch geld schuldig ?
it ' s tom ' s office .,das ist toms büro .
"which do you like better , meat or fish ?",magst du lieber fleisch oder fisch ?
tom told himself that there was no reason to panic .,"tom sagte sich , dass kein grund zur panik vorlag ."
has your dog ever bitten anyone ?,hat ihr hund schon mal jemanden gebissen ?
were the results surprising ?,waren die ergebnisse überraschend ?
can you repeat what you said ?,"können sie wiederholen , was sie gesagt haben ?"
they arrested a man named lee harvey oswald .,sie haben einen mann namens lee harvey oswald festgenommen .
does anyone in your family speak french ?,spricht jemand in deiner familie französisch ?
they walked and talked for most of the afternoon .,sie unterhielten sich fast den ganzen morgen auf einem spaziergang .
they ' re foreigners .,das sind ausländerinnen .
can you help me do this ?,kannst du mir dabei helfen ?
the barn door was open .,das scheunentor war offen .
tom later died at the hospital .,tom ist später im krankenhaus verstorben .
tom found himself a seat near the door .,tom fand einen platz nahe an der tür .
we ' ve spent too much money .,wir haben zu viel geld ausgegeben .
don ' t gawk at me .,gaff mich nicht an !
are you free this weekend ?,haben sie dieses wochenende zeit ?
i can wait for you .,ich kann auf euch warten .
tom began to write .,tom fing an zu schreiben .
why should we trust you ?,warum sollten wir euch vertrauen ?
"if tom had been careful , this accident wouldn ' t have happened .","wäre tom vorsichtig gewesen , so wäre dieser unfall nicht passiert ."
i knew how tom felt .,"ich wusste , wie tom zumute war ."
"at dinner time , don ' t speak with your mouth full .",sprich beim essen nicht mit vollem mund !
i ' m laughing at tom .,ich verlache tom .
tom loves skiing .,tom liebt skifahren .
he died yesterday .,er ist gestern gestorben .
did you enjoy the opera ?,hat ihnen die oper gefallen ?
where are we getting the money ?,von wo bekommen wir das geld ?
it ' s still monday .,es ist immer noch montag .
"my room is small , but it ' s large enough for me .","mein zimmer ist klein , aber für mich ist es groß genug ."
there ' s no way i ' d wear a shirt like that .,so ein hemd würde ich unter keinen umständen anziehen .
i didn ' t find it .,ich habe das nicht gefunden .
tom fascinated me .,tom hat mich fasziniert .
why didn ' t you stay in boston a little longer ?,warum sind sie nicht ein bißchen länger in boston geblieben ?
we met on october th last year .,wir haben uns letztes jahr am . oktober kennengelernt .
is tom still wearing his shoes ?,hat tom noch seine schuhe an ?
who told you ?,wer hat ihnen das gesagt ?
i washed my feet .,ich wusch mir die füße .
i didn ' t make it that far .,so weit bin ich nicht gekommen .
her mother must have smelled something fishy .,ihre mutter muss den braten gerochen haben .
tom hasn ' t told us what to buy yet .,"tom hat uns noch nicht gesagt , was wir kaufen sollen ."
he was about to start .,er wollte gerade anfangen .
"tom is very good with kids , isn ' t he ?","tom kann sehr gut mit kindern umgehen , oder ?"
when did tom start studying french ?,"wann hat tom angefangen , französisch zu lernen ?"
tom is often disruptive in class .,tom stört oft den unterricht .
i felt myself getting stronger .,"ich konnte spüren , wie ich stärker wurde ."
i told you not to stop .,"ich habe euch doch gesagt , daß ihr nicht aufhören sollt ."
tom didn ' t go to australia .,tom ist nicht nach australien geflogen .
it ' s a book on animals .,das ist ein buch über tiere .
let ' s not do anything for my birthday this year .,machen wir dieses jahr zu meinem geburtstag nichts !
you haven ' t even tried .,sie haben es noch nicht einmal versucht .
mary is a hairdresser .,maria ist frisörin .
"you ' re good , aren ' t you ?","du bist brav , oder ?"
i ' d prefer a sandwich .,ich hätte lieber ein sandwich .
"the plane flew at an altitude of , meters .",das flugzeug flog in einer höhe von . metern .
that was smart of you .,das war klug von dir .
that ' s a great plan .,das ist ein guter plan .
it ' s light out already .,es ist draußen schon hell geworden .
tom will swim .,tom wird schwimmen .
have you read the book yet ?,haben sie das buch bereits gelesen ?
tom is irreplaceable .,tom ist unersetzlich .
this is my favorite book of all time .,das ist mein absolutes lieblingsbuch .
where did tom hit you ?,wo hat tom sie geschlagen ?
you were right about tom .,"du hattest recht , was tom betrifft ."
he asked me to pass him the salt .,"er bat mich , ihm das salz zu geben ."
mary likes to dress up on special occasions .,maria putzt sich zu besonderen anlässen gern heraus .
what do you want to be when you grow up ? a millionaire .,"was willst du denn mal werden , wenn du groß bist ? millionärin ."
i ' m sorry i can ' t come today .,"tut mir leid , dass ich heute nicht kommen kann ."
that ' s not my decision .,"es ist nicht an mir , das zu entscheiden ."
my only worry is that i have no worries .,"meine einzige sorge besteht darin , dass ich keine sorgen habe ."
we usually work on mondays .,montags arbeiten wir gewöhnlich .
shall i cut it in half ?,soll ich es mittendurch schneiden ?
how do we explain this ?,wie erklären wir das ?
we ' re going in here .,wir gehen hier rein .
we should ' ve come earlier .,ich hätte eher kommen sollen .
i haven ' t read any of these books yet .,ich habe noch keins dieser bücher gelesen .
the city has a large population .,die stadt hat viele einwohner .
"stop , stop ! the doctor said you mustn ' t lift anything heavy .","halt , halt ! du darfst doch nicht schwer heben , hat der arzt gesagt ."
i hated school .,ich habe die schule gehasst .
i lent the book you gave me to tom .,"ich habe das buch , das du mir geschenkt hast , tom geliehen ."
have you all gone nuts ?,seid ihr jetzt alle komplett durchgedreht ?
that desk does not fit in this room .,der schreibtisch passt nicht in dieses zimmer .
i play the flute .,ich spiele querflöte .
i couldn ' t sleep because of the heat .,ich konnte vor hitze nicht schlafen .
the question is whether tom will agree with us .,"die frage ist , ob tom uns zustimmen wird ."
learning a foreign language is interesting .,"eine fremdsprache zu lernen , ist interessant ."
a major had to take command of the division .,ein major musste das kommando über die division übernehmen .
tom thinks that mary shouldn ' t do that .,"tom findet , dass mary das nicht tun sollte ."
you need to tell me what you want me to do .,"du musst mir sagen , was ich eigentlich tun soll ."
i saw her at the station .,ich sah sie am bahnhof .
why did you ask ?,warum fragten sie ?
tom isn ' t so gullible .,tom ist nicht so leichtgläubig .
tom is just a farm boy living in a big city .,"tom ist nur ein bauernjunge , der in einer großen stadt lebt ."
where were you sitting ?,wo saßen sie ?
do you like to give gifts ?,schenken sie gerne ?
playing tennis is fun .,tennisspielen macht spaß .
"hey , your dog just bit me .","entschuldigen sie , ihr hund hat mich gerade gebissen !"
i wish to live in a big city .,ich möchte in einer großstadt leben .
i saw how hard you studied .,"ich habe gesehen , wie fleißig ihr gelernt habt ."
thank you all for being here .,"danke , daß ihr gekommen seid !"
this knife isn ' t sharp .,dieses messer ist nicht scharf .
don ' t be discouraged .,lass dich nicht entmutigen .
we ' re relatives .,wir sind verwandte .
"no , thank you .","nein , danke ."
the sirens went off .,die sirenen gingen los .
many people make that mistake .,den fehler machen viele .
winter is coming .,der winter steht vor der tür .
tom ' s not in his car .,tom ist nicht in seinem auto .
let ' s go swimming after school .,gehen wir nach der schule schwimmen !
we took the elevator down to the third floor .,wir haben den fahrstuhl hinunter in die dritte etage genommen .
stop looking at me like that .,"hör auf , mich so anzusehen ."
tom said he ' d be right back .,"tom sagte , dass er gleich wieder da sei ."
she thought that i was a doctor .,sie hielt mich für eine ärztin .
